URL,Title,Price,Rating,Processor,RAM,Memory Speed,Storage,GPU,GPU RAM Size
https://www.amazon.com/ASUS-Display-GeForce-Windows-FA507XI-EH94/dp/B0CJS1RQ2W/ref=sr_1_3?dib=eyJ2IjoiMSJ9.3WUDP5ip0ctKV76kA1Y9xuYHYv4IKWGcoqUPZ9KwGC35IDNXVlX3SPMmjMrTVWfwuHtd_9luE7kHp1jsTYehi4ov5ymDgY4c4QqMyejvBJMQ5Lrqjdrm-K1MYeXI_FtmbbKDr0BU_AaHxBGNgCPOKZkGIkbuaF9ThLqr6ebCcQNi3Kr4WBbYF5K_CE1F5wobeZFHpYx9Tze6tt2IZq4_MchQF157G-LUD5ywMdW-mBc.ne1B7y7i2T1gz_EzNNR9abIRTDLUPBo6ZVu-ol1qgv0&dib_tag=se&keywords=gaming+laptops&qid=1723289877&sr=8-3,"ASUS TUF Gaming A15 (2023) Gaming Laptop, 15.6” FHD 144Hz Display, GeForce RTX 4070, AMD Ryzen 7 7940HS, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6, Windows 11, FA507XI-EH94(Mecha Gray)","ASUS TUF Gaming A15 (2023) Gaming Laptop, 15.6” FHD 144Hz Display, GeForce RTX 4070, AMD Ryzen 7 7940HS, 16GB DDR5, 1TB PCIe SSD, Wi-Fi 6, Windows 11, FA507XI-EH94(Mecha Gray)",4.4 out of 5 stars,5.2 GHz ryzen_9,4 DDR5,4800 MHz,1 TB SSD,NVIDIA GeForce RTX 4070,8 GB
https://www.amazon.com/MSI-Raider-GE76-Gaming-Laptop/dp/B0BXYDMPKD/ref=sr_1_2?dib=eyJ2IjoiMSJ9.3WUDP5ip0ctKV76kA1Y9xuYHYv4IKWGcoqUPZ9KwGC35IDNXVlX3SPMmjMrTVWfwuHtd_9luE7kHp1jsTYehi4ov5ymDgY4c4QqMyejvBJMQ5Lrqjdrm-K1MYeXI_FtmbbKDr0BU_AaHxBGNgCPOKZkGIkbuaF9ThLqr6ebCcQNi3Kr4WBbYF5K_CE1F5wobeZFHpYx9Tze6tt2IZq4_MchQF157G-LUD5ywMdW-mBc.ne1B7y7i2T1gz_EzNNR9abIRTDLUPBo6ZVu-ol1qgv0&dib_tag=se&keywords=gaming+laptops&qid=1723289877&sr=8-2,"MSI Raider GE76 Gaming Laptop: Intel Core i9-12900H, GeForce RTX 3060, 17.3"" 144Hz FHD Display,16GB DDR5, 1TB NVMe SSD, Thunderbolt 4, Cooler Boost 5, Win 11 Home: Titanium Blue 12UE-871","MSI Raider GE76 Gaming Laptop: Intel Core i9-12900H, GeForce RTX 3060, 17.3"" 144Hz FHD Display,16GB DDR5, 1TB NVMe SSD, Thunderbolt 4, Cooler Boost 5, Win 11 Home: Titanium Blue 12UE-871",4.3 out of 5 stars,1.8 GHz core_i9,16 GB DDR5, ,1 TB SSD,NVIDIA GeForce RTX 3060,6 GB
https://www.amazon.com/ASUS-Display-i5-11400H-Processor-FX506HF-ES51/dp/B0BWHJQMKH/ref=sr_1_4?dib=eyJ2IjoiMSJ9.3WUDP5ip0ctKV76kA1Y9xuYHYv4IKWGcoqUPZ9KwGC35IDNXVlX3SPMmjMrTVWfwuHtd_9luE7kHp1jsTYehi4ov5ymDgY4c4QqMyejvBJMQ5Lrqjdrm-K1MYeXI_FtmbbKDr0BU_AaHxBGNgCPOKZkGIkbuaF9ThLqr6ebCcQNi3Kr4WBbYF5K_CE1F5wobeZFHpYx9Tze6tt2IZq4_MchQF157G-LUD5ywMdW-mBc.ne1B7y7i2T1gz_EzNNR9abIRTDLUPBo6ZVu-ol1qgv0&dib_tag=se&keywords=gaming+laptops&qid=1723289877&sr=8-4,"ASUS TUF Gaming F15 Gaming Laptop, 15.6” 144Hz FHD Display, Intel Core i5-11400H Processor, GeForce RTX 2050, 8GB DDR4 RAM, 512GB PCIe SSD Gen 3, Wi-Fi 6, Windows 11, FX506HF-ES51,Graphite Black","ASUS TUF Gaming F15 Gaming Laptop, 15.6” 144Hz FHD Display, Intel Core i5-11400H Processor, GeForce RTX 2050, 8GB DDR4 RAM, 512GB PCIe SSD Gen 3, Wi-Fi 6, Windows 11, FX506HF-ES51,Graphite Black",4.4 out of 5 stars,4.5 GHz core_i5,8 GB DDR4,3200 MHz,512 GB SSD,NVIDIA GeForce RTX 2050,4 GB
https://www.amazon.com/MSI-Katana-144Hz-Gaming-Laptop/dp/B0CXVGSY2H/ref=sr_1_1?dib=eyJ2IjoiMSJ9.3WUDP5ip0ctKV76kA1Y9xuYHYv4IKWGcoqUPZ9KwGC35IDNXVlX3SPMmjMrTVWfwuHtd_9luE7kHp1jsTYehi4ov5ymDgY4c4QqMyejvBJMQ5Lrqjdrm-K1MYeXI_FtmbbKDr0BU_AaHxBGNgCPOKZkGIkbuaF9ThLqr6ebCcQNi3Kr4WBbYF5K_CE1F5wobeZFHpYx9Tze6tt2IZq4_MchQF157G-LUD5ywMdW-mBc.ne1B7y7i2T1gz_EzNNR9abIRTDLUPBo6ZVu-ol1qgv0&dib_tag=se&keywords=gaming+laptops&qid=1723289877&sr=8-1,"MSI Katana A15 AI 15.6” 144Hz FHD Gaming Laptop: Ryzen 7-8845HS, NVIDIA Geforce RTX 4060, 32GB DDR5, 1TB NVMe SSD, Cooler Boost 5, Win 11: Black B8VF-448US",Amazon's Choice: Overall Pick,4.4 out of 5 stars,3.8 GHz amd_ryzen_7,32 GB DDR5, ,1 TB SSD,NVIDIA GeForce RTX 4060,8 GB
https://www.amazon.com/ASUS-Gaming-Laptop-Nebula-Display/dp/B0CRCVJFQM/ref=sr_1_6?dib=eyJ2IjoiMSJ9.3WUDP5ip0ctKV76kA1Y9xuYHYv4IKWGcoqUPZ9KwGC35IDNXVlX3SPMmjMrTVWfwuHtd_9luE7kHp1jsTYehi4ov5ymDgY4c4QqMyejvBJMQ5Lrqjdrm-K1MYeXI_FtmbbKDr0BU_AaHxBGNgCPOKZkGIkbuaF9ThLqr6ebCcQNi3Kr4WBbYF5K_CE1F5wobeZFHpYx9Tze6tt2IZq4_MchQF157G-LUD5ywMdW-mBc.ne1B7y7i2T1gz_EzNNR9abIRTDLUPBo6ZVu-ol1qgv0&dib_tag=se&keywords=gaming+laptops&qid=1723289877&sr=8-6,"ASUS ROG Strix G16 (2024) Gaming Laptop, 16” ROG Nebula Display 16:10 QHD 240Hz, NVIDIA® GeForce RTX™ 4070, Intel® Core™ i9-14900HX, 16GB DDR5-5600, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Win 11, G614JIR-AS94","ASUS ROG Strix G16 (2024) Gaming Laptop, 16” ROG Nebula Display 16:10 QHD 240Hz, NVIDIA® GeForce RTX™ 4070, Intel® Core™ i9-14900HX, 16GB DDR5-5600, 1TB PCIe Gen4 SSD, Wi-Fi 6E, Win 11, G614JIR-AS94",4.2 out of 5 stars,4 GHz core_i9,16 GB DDR5,5600 MHz,1 TB SSD,NVIDIA GeForce RTX 4070,8 GB
https://www.amazon.com/Asus-G713RC-RS73-17-3inches-Ryzen7-6800h-3-2ghz/dp/B0B2HV382D/ref=sr_1_8?dib=eyJ2IjoiMSJ9.3WUDP5ip0ctKV76kA1Y9xuYHYv4IKWGcoqUPZ9KwGC35IDNXVlX3SPMmjMrTVWfwuHtd_9luE7kHp1jsTYehi4ov5ymDgY4c4QqMyejvBJMQ5Lrqjdrm-K1MYeXI_FtmbbKDr0BU_AaHxBGNgCPOKZkGIkbuaF9ThLqr6ebCcQNi3Kr4WBbYF5K_CE1F5wobeZFHpYx9Tze6tt2IZq4_MchQF157G-LUD5ywMdW-mBc.ne1B7y7i2T1gz_EzNNR9abIRTDLUPBo6ZVu-ol1qgv0&dib_tag=se&keywords=gaming+laptops&qid=1723289877&sr=8-8,"ASUS ROG Strix G17 (2022) Gaming Laptop, 17.3” 144Hz IPS FHD Display, NVIDIA GeForce RTX 3050 GPU, AMD Ryzen 7 6800H Processor, 16GB DDR5 RAM, 512GB SSD, RGB Keyboard, Windows 11, G713RC-RS73","ASUS ROG Strix G17 (2022) Gaming Laptop, 17.3” 144Hz IPS FHD Display, NVIDIA GeForce RTX 3050 GPU, AMD Ryzen 7 6800H Processor, 16GB DDR5 RAM, 512GB SSD, RGB Keyboard, Windows 11, G713RC-RS73",4.2 out of 5 stars,4.7 GHz ryzen_7,16 GB DDR5,3.2 GHz,512 GB SSD,NVIDIA GeForce RTX 3050,16 GB
https://www.amazon.com/MSI-Katana-144Hz-Gaming-Laptop/dp/B0BT3FKZ3N/ref=sr_1_5?dib=eyJ2IjoiMSJ9.3WUDP5ip0ctKV76kA1Y9xuYHYv4IKWGcoqUPZ9KwGC35IDNXVlX3SPMmjMrTVWfwuHtd_9luE7kHp1jsTYehi4ov5ymDgY4c4QqMyejvBJMQ5Lrqjdrm-K1MYeXI_FtmbbKDr0BU_AaHxBGNgCPOKZkGIkbuaF9ThLqr6ebCcQNi3Kr4WBbYF5K_CE1F5wobeZFHpYx9Tze6tt2IZq4_MchQF157G-LUD5ywMdW-mBc.ne1B7y7i2T1gz_EzNNR9abIRTDLUPBo6ZVu-ol1qgv0&dib_tag=se&keywords=gaming+laptops&qid=1723289877&sr=8-5,"MSI Katana 15 15.6"" 144Hz FHD Gaming Laptop: 13th Gen Intel Core i7, RTX 4070, 16GB DDR5, 1TB NVMe SSD, USB-Type C, Cooler Boost 5, Win11 Home: Black B13VGK-484US","MSI Katana 15 15.6"" 144Hz FHD Gaming Laptop: 13th Gen Intel Core i7, RTX 4070, 16GB DDR5, 1TB NVMe SSD, USB-Type C, Cooler Boost 5, Win11 Home: Black B13VGK-484US",4.3 out of 5 stars,2.4 GHz core_i7,16 GB DDR5,2400 MHz,1 TB SSD,NVIDIA GeForce RTX 4070, 
https://www.amazon.com/MSI-Thin-144Hz-Gaming-Laptop/dp/B0BT3CD75G/ref=sr_1_7?dib=eyJ2IjoiMSJ9.3WUDP5ip0ctKV76kA1Y9xuYHYv4IKWGcoqUPZ9KwGC35IDNXVlX3SPMmjMrTVWfwuHtd_9luE7kHp1jsTYehi4ov5ymDgY4c4QqMyejvBJMQ5Lrqjdrm-K1MYeXI_FtmbbKDr0BU_AaHxBGNgCPOKZkGIkbuaF9ThLqr6ebCcQNi3Kr4WBbYF5K_CE1F5wobeZFHpYx9Tze6tt2IZq4_MchQF157G-LUD5ywMdW-mBc.ne1B7y7i2T1gz_EzNNR9abIRTDLUPBo6ZVu-ol1qgv0&dib_tag=se&keywords=gaming+laptops&qid=1723289877&sr=8-7,"MSI Thin GF63 15.6"" 144Hz Gaming Laptop: 12th Gen Intel Core i7, NVIDIA GeForce RTX 4050, 16GB DDR4, 512GB NVMe SSD, Type-C, Cooler Boost 5, Win11 Home: Black 12VE-066US","MSI Thin GF63 15.6"" 144Hz Gaming Laptop: 12th Gen Intel Core i7, NVIDIA GeForce RTX 4050, 16GB DDR4, 512GB NVMe SSD, Type-C, Cooler Boost 5, Win11 Home: Black 12VE-066US",4.3 out of 5 stars,1.7 GHz core_i7,16 GB DDR4, ,512 GB SSD,NVIDIA GeForce RTX 4050, 
https://www.amazon.com/ASUS-Display-i7-12650H-Thunderbolt-FX517ZM-AS73/dp/B09RMH9B6F/ref=sr_1_9?dib=eyJ2IjoiMSJ9.3WUDP5ip0ctKV76kA1Y9xuYHYv4IKWGcoqUPZ9KwGC35IDNXVlX3SPMmjMrTVWfwuHtd_9luE7kHp1jsTYehi4ov5ymDgY4c4QqMyejvBJMQ5Lrqjdrm-K1MYeXI_FtmbbKDr0BU_AaHxBGNgCPOKZkGIkbuaF9ThLqr6ebCcQNi3Kr4WBbYF5K_CE1F5wobeZFHpYx9Tze6tt2IZq4_MchQF157G-LUD5ywMdW-mBc.ne1B7y7i2T1gz_EzNNR9abIRTDLUPBo6ZVu-ol1qgv0&dib_tag=se&keywords=gaming+laptops&qid=1723289877&sr=8-9,"ASUS TUF Dash 15 (2022) Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H, GeForce RTX 3060, 16GB DDR5, 512GB SSD, Thunderbolt 4, Windows 11 Home, Off Black, FX517ZM-AS73","ASUS TUF Dash 15 (2022) Gaming Laptop, 15.6"" 144Hz FHD Display, Intel Core i7-12650H, GeForce RTX 3060, 16GB DDR5, 512GB SSD, Thunderbolt 4, Windows 11 Home, Off Black, FX517ZM-AS73",4.5 out of 5 stars,3.5 GHz core_i7,16 GB DDR5,4800 MHz,512 GB SSD,NVIDIA GeForce RTX 3060,6 GB
https://www.amazon.com/ASUS-Premium-i7-13700H-GeForce-Backlit/dp/B0D5P3SG53/ref=sr_1_11?dib=eyJ2IjoiMSJ9.3WUDP5ip0ctKV76kA1Y9xuYHYv4IKWGcoqUPZ9KwGC35IDNXVlX3SPMmjMrTVWfwuHtd_9luE7kHp1jsTYehi4ov5ymDgY4c4QqMyejvBJMQ5Lrqjdrm-K1MYeXI_FtmbbKDr0BU_AaHxBGNgCPOKZkGIkbuaF9ThLqr6ebCcQNi3Kr4WBbYF5K_CE1F5wobeZFHpYx9Tze6tt2IZq4_MchQF157G-LUD5ywMdW-mBc.ne1B7y7i2T1gz_EzNNR9abIRTDLUPBo6ZVu-ol1qgv0&dib_tag=se&keywords=gaming+laptops&qid=1723289877&sr=8-11,"ASUS TUF 16"" Ryzen 7 Premium Gaming Laptop, 16"" FHD+ 165Hz, AMD Ryzen 7 7735HS (Beats Intel i7-13700H), AMD Radeon RX 7700S (Beats GeForce RTX 4060), 64GB DDR5 RAM, 4TB SSD, RGB Backlit KB, W11 Pro","ASUS TUF 16"" Ryzen 7 Premium Gaming Laptop, 16"" FHD+ 165Hz, AMD Ryzen 7 7735HS (Beats Intel i7-13700H), AMD Radeon RX 7700S (Beats GeForce RTX 4060), 64GB DDR5 RAM, 4TB SSD, RGB Backlit KB, W11 Pro",3.9 out of 5 stars,4.8 GHz ryzen_7,64 GB DDR5,4800 MHz,4 TB SSD,AMD Radeon RX 7700S, 
